Appliances,0,10723012.09,10723012.09,100
Appliances,1,10723012.09,1943513.72,18.12
Appliances,2,10723012.09,1416673.9,13.21
Appliances,3,10723012.09,1374675.4,12.82
Appliances,4,10723012.09,1206187.93,11.25
Appliances,5,10723012.09,634318.62,5.92
Appliances,6,10723012.09,394909.1,3.68
Beauty & Grooming,0,1026798.54,1026798.54,100
Beauty & Grooming,1,1026798.54,224716.52,21.89
Beauty & Grooming,2,1026798.54,151238.14,14.73
Beauty & Grooming,3,1026798.54,124588.23,12.13
Beauty & Grooming,4,1026798.54,85893.06,8.37
Beauty & Grooming,5,1026798.54,105873.25,10.31
Beauty & Grooming,6,1026798.54,41250.84,4.02
Books,0,1320.62,1320.62,100
Books,1,1320.62,407.7,30.87
Computing,0,1710309.72,1710309.72,100
Computing,1,1710309.72,123635.59,7.23
Computing,2,1710309.72,22722.99,1.33
Computing,3,1710309.72,100278.19,5.86
Computing,4,1710309.72,135351.13,7.91
Computing,5,1710309.72,35268.64,2.06
Computing,6,1710309.72,7536.44,0.44
Entertainment,0,5733086.32,5733086.32,100
Entertainment,1,5733086.32,373051.19,6.51
Entertainment,2,5733086.32,177716.29,3.1
Entertainment,3,5733086.32,421437.58,7.35
Entertainment,4,5733086.32,432508.46,7.54
Entertainment,5,5733086.32,177301.94,3.09
Entertainment,6,5733086.32,63282.98,1.1
Health & Sports,0,165446.22,165446.22,100
Health & Sports,1,165446.22,40175.41,24.28
Health & Sports,2,165446.22,22599.79,13.66
Health & Sports,3,165446.22,27843.04,16.83
Health & Sports,4,165446.22,26182.16,15.83
Health & Sports,5,165446.22,2097.2,1.27
Health & Sports,6,165446.22,3589.6,2.17
Home & Living,0,379458.41,379458.41,100
Home & Living,1,379458.41,23600.37,6.22
Home & Living,2,379458.41,11652.28,3.07
Home & Living,3,379458.41,10659.5,2.81
Home & Living,4,379458.41,21351.2,5.63
Home & Living,5,379458.41,33443.69,8.81
Home & Living,6,379458.41,2668.95,0.7
Kids & Baby,0,210991.39,210991.39,100
Kids & Baby,1,210991.39,16022.69,7.59
Kids & Baby,2,210991.39,6731.2,3.19
Kids & Baby,3,210991.39,10647.3,5.05
Kids & Baby,4,210991.39,4943.97,2.34
Kids & Baby,5,210991.39,933.6,0.44
Kids & Baby,6,210991.39,631,0.3
Men's Fashion,0,1117140.92,1117140.92,100
Men's Fashion,1,1117140.92,133860.53,11.98
Men's Fashion,2,1117140.92,62632.25,5.61
Men's Fashion,3,1117140.92,40157.73,3.59
Men's Fashion,4,1117140.92,33656.1,3.01
Men's Fashion,5,1117140.92,39683.85,3.55
Men's Fashion,6,1117140.92,4093.85,0.37
Mobiles & Tablets,0,16749353.26,16749353.26,100
Mobiles & Tablets,1,16749353.26,1260957.42,7.53
Mobiles & Tablets,2,16749353.26,417683.11,2.49
Mobiles & Tablets,3,16749353.26,652192.65,3.89
Mobiles & Tablets,4,16749353.26,658344.42,3.93
Mobiles & Tablets,5,16749353.26,275568.52,1.65
Mobiles & Tablets,6,16749353.26,121356.36,0.72
Others,0,650394.7,650394.7,100
Others,1,650394.7,13641.72,2.1
Others,2,650394.7,6537.9,1.01
Others,3,650394.7,583.5,0.09
Others,4,650394.7,15900,2.44
Others,5,650394.7,230.23,0.04
Others,6,650394.7,249.9,0.04
School & Education,0,3714.91,3714.91,100
School & Education,1,3714.91,334.3,9
School & Education,2,3714.91,194.93,5.25
Soghaat,0,31125.62,31125.62,100
Soghaat,1,31125.62,17180.66,55.2
Soghaat,2,31125.62,785.1,2.52
Soghaat,3,31125.62,2454.8,7.89
Soghaat,4,31125.62,1621.82,5.21
Soghaat,5,31125.62,1649.46,5.3
Soghaat,6,31125.62,9555.73,30.7
Superstore,0,65754.3,65754.3,100
Superstore,1,65754.3,10844.13,16.49
Superstore,2,65754.3,2015.4,3.07
Superstore,3,65754.3,2837.3,4.32
Superstore,4,65754.3,1494.7,2.27
Superstore,5,65754.3,19.5,0.03
Superstore,6,65754.3,1075.5,1.64
Women's Fashion,0,680878.84,680878.84,100
Women's Fashion,1,680878.84,58038.93,8.52
Women's Fashion,2,680878.84,33667.01,4.94
Women's Fashion,3,680878.84,31042.83,4.56
Women's Fashion,4,680878.84,24997.64,3.67
Women's Fashion,5,680878.84,13059.98,1.92
Women's Fashion,6,680878.84,5079.49,0.75
